ALT TEMP PRESS  [H]  [H2]  [He]  [CH4]  [C2H2]  [C2H4]  [C2H6]  [CH3C2H] [C3H8]  [C4H2]  [C4H10]
3721.3 940.0 8.450e-10 6.494e+03 1.723e+01 1.322e-11 1.089e-78 8.884e-131 1.396e-141 1.641e-152 5.021e-202 5.050e-225 0.000e+00 0.000e+00
3780.2 940.0 7.057e-10 5.426e+03 1.202e+01 6.475e-12 6.241e-80 8.561e-133 9.401e-144 7.709e-155 3.974e-205 1.945e-228 0.000e+00 0.000e+00
3839.0 940.0 5.896e-10 4.535e+03 8.390e+00 3.176e-12 3.593e-81 8.313e-135 6.383e-146 3.654e-157 3.182e-208 7.589e-232 0.000e+00 0.000e+00
3897.9 940.0 4.928e-10 3.791e+03 5.860e+00 1.559e-12 2.078e-82 8.133e-137 4.369e-148 1.747e-159 2.578e-211 2.999e-235 0.000e+00 0.000e+00
3956.8 940.0 4.120e-10 3.170e+03 4.095e+00 7.665e-13 1.207e-83 8.017e-139 3.015e-150 8.424e-162 2.113e-214 1.201e-238 0.000e+00 0.000e+00
4015.6 940.0 3.446e-10 2.652e+03 2.863e+00 3.772e-13 7.048e-85 7.963e-141 2.098e-152 4.098e-164 1.752e-217 4.867e-242 0.000e+00 0.000e+00
4074.5 940.0 2.883e-10 2.219e+03 2.003e+00 1.859e-13 4.134e-86 7.969e-143 1.472e-154 2.011e-166 1.470e-220 1.999e-245 0.000e+00 0.000e+00
4133.3 940.0 2.412e-10 1.857e+03 1.402e+00 9.168e-14 2.436e-87 8.035e-145 1.041e-156 9.956e-169 1.247e-223 8.313e-249 0.000e+00 0.000e+00
4192.2 940.0 2.019e-10 1.555e+03 9.824e-01 4.528e-14 1.442e-88 8.163e-147 7.417e-159 4.971e-171 1.071e-226 3.502e-252 0.000e+00 0.000e+00
4251.0 940.0 1.691e-10 1.302e+03 6.885e-01 2.239e-14 8.573e-90 8.355e-149 5.330e-161 2.504e-173 9.299e-230 1.494e-255 0.000e+00 0.000e+00
4309.9 940.0 1.416e-10 1.091e+03 4.828e-01 1.108e-14 5.121e-91 8.615e-151 3.861e-163 1.272e-175 8.169e-233 6.453e-259 0.000e+00 0.000e+00
4368.7 940.0 1.187e-10 9.142e+02 3.388e-01 5.492e-15 3.074e-92 8.950e-153 2.820e-165 6.517e-178 7.258e-236 2.823e-262 0.000e+00 0.000e+00
4427.6 940.0 9.948e-11 7.663e+02 2.379e-01 2.725e-15 1.853e-93 9.367e-155 2.076e-167 3.368e-180 6.523e-239 1.251e-265 0.000e+00 0.000e+00
4486.5 940.0 8.340e-11 6.425e+02 1.671e-01 1.353e-15 1.122e-94 9.877e-157 1.540e-169 1.756e-182 5.930e-242 5.610e-269 0.000e+00 0.000e+00
4545.3 940.0 6.994e-11 5.388e+02 1.175e-01 6.729e-16 6.828e-96 1.049e-158 1.152e-171 9.229e-185 5.452e-245 2.548e-272 0.000e+00 0.000e+00
4604.2 940.0 5.867e-11 4.520e+02 8.260e-02 3.350e-16 4.173e-97 1.123e-160 8.683e-174 4.893e-187 5.070e-248 1.172e-275 0.000e+00 0.000e+00
4663.0 940.0 4.924e-11 3.793e+02 5.813e-02 1.669e-16 2.562e-98 1.210e-162 6.598e-176 2.617e-189 4.768e-251 5.458e-279 0.000e+00 0.000e+00
4721.9 940.0 4.133e-11 3.184e+02 4.093e-02 8.330e-17 1.580e-99 1.314e-164 5.053e-178 1.411e-191 4.535e-254 2.574e-282 0.000e+00 0.000e+00
4780.7 940.0 3.470e-11 2.673e+02 2.883e-02 4.161e-17 9.788e-101 1.437e-166 3.901e-180 7.673e-194 4.362e-257 1.229e-285 0.000e+00 0.000e+00
4839.6 940.0 2.914e-11 2.245e+02 2.032e-02 2.081e-17 6.091e-102 1.584e-168 3.035e-182 4.208e-196 4.243e-260 5.938e-289 0.000e+00 0.000e+00
4898.4 940.0 2.448e-11 1.886e+02 1.433e-02 1.042e-17 3.808e-103 1.758e-170 2.380e-184 2.327e-198 4.174e-263 2.906e-292 0.000e+00 0.000e+00
4957.3 940.0 2.057e-11 1.585e+02 1.012e-02 5.220e-18 2.391e-104 1.965e-172 1.881e-186 1.298e-200 4.152e-266 1.439e-295 0.000e+00 0.000e+00
5016.2 940.0 1.729e-11 1.332e+02 7.142e-03 2.619e-18 1.508e-105 2.213e-174 1.498e-188 7.300e-203 4.176e-269 7.219e-299 0.000e+00 0.000e+00
5075.0 940.0 1.454e-11 1.120e+02 5.046e-03 1.316e-18 9.552e-107 2.510e-176 1.203e-190 4.140e-205 4.248e-272 3.665e-302 0.000e+00 0.000e+00
5133.9 940.0 1.223e-11 9.422e+01 3.567e-03 6.616e-19 6.078e-108 2.868e-178 9.728e-193 2.367e-207 4.369e-275 1.883e-305 0.000e+00 0.000e+00
5192.7 940.0 1.029e-11 7.927e+01 2.523e-03 3.331e-19 3.885e-109 3.300e-180 7.931e-195 1.365e-209 4.543e-278 0.000e+00 0.000e+00 0.000e+00
5251.6 940.0 8.657e-12 6.671e+01 1.785e-03 1.678e-19 2.494e-110 3.825e-182 6.516e-197 7.936e-212 4.777e-281 0.000e+00 0.000e+00 0.000e+00
5310.4 940.0 7.287e-12 5.615e+01 1.264e-03 8.468e-20 1.608e-111 4.465e-184 5.395e-199 4.652e-214 5.078e-284 0.000e+00 0.000e+00 0.000e+00
5369.3 940.0 6.136e-12 4.728e+01 8.955e-04 4.277e-20 1.042e-112 5.249e-186 4.501e-201 2.750e-216 5.458e-287 0.000e+00 0.000e+00 0.000e+00
5428.1 940.0 5.167e-12 3.982e+01 6.348e-04 2.163e-20 6.776e-114 6.216e-188 3.785e-203 1.639e-218 5.931e-290 0.000e+00 0.000e+00 0.000e+00
5487.0 940.0 4.353e-12 3.354e+01 4.502e-04 1.095e-20 4.427e-115 7.412e-190 3.206e-205 9.848e-221 6.516e-293 0.000e+00 0.000e+00 0.000e+00
5545.9 940.0 3.668e-12 2.827e+01 3.195e-04 5.547e-21 2.905e-116 8.902e-192 2.737e-207 5.966e-223 7.237e-296 0.000e+00 0.000e+00 0.000e+00
5604.7 940.0 3.092e-12 2.383e+01 2.268e-04 2.814e-21 1.915e-117 1.077e-193 2.355e-209 3.644e-225 8.125e-299 0.000e+00 0.000e+00 0.000e+00
5663.6 940.0 2.607e-12 2.009e+01 1.611e-04 1.429e-21 1.267e-118 1.312e-195 2.041e-211 2.244e-227 9.222e-302 0.000e+00 0.000e+00 0.000e+00
5722.4 940.0 2.199e-12 1.694e+01 1.145e-04 7.265e-22 8.426e-120 1.609e-197 1.783e-213 1.393e-229 1.058e-304 0.000e+00 0.000e+00 0.000e+00
5781.3 940.0 1.855e-12 1.429e+01 8.145e-05 3.697e-22 5.626e-121 1.988e-199 1.569e-215 8.717e-232 1.227e-307 0.000e+00 0.000e+00 0.000e+00
5840.1 940.0 1.565e-12 1.206e+01 5.796e-05 1.884e-22 3.773e-122 2.473e-201 1.391e-217 5.500e-234 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5899.0 940.0 1.321e-12 1.018e+01 4.126e-05 9.607e-23 2.541e-123 3.098e-203 1.243e-219 3.498e-236 0.000e+00 0.000e+00 0.000e+00 0.000e+00
